variable, mean, stdev
release_speed, 89.11858153487944, 5.676493368238486
release_pos_x, -1.1423264977164842, 1.9010370238003358
release_pos_y, 54.57121608310208, 0.4838824866992112
release_pos_z, 5.95531655771469, 0.4236580689774163
pfx_x, -0.27490642070386073, 0.8564416634388285
pfx_z, 0.7045974747022469, 0.7738211042274236
plate_x, 0.04226829049879085, 0.8508582997992398
plate_z, 2.239341810692226, 0.9535871293418018
vx0, 3.5062720946362242, 5.9764974048152
vy0, -129.5095041411314, 8.22081725181609
vz0, -4.543923093760404, 2.8327082571233064
ax, -4.138048379221143, 10.482304487912817
ay, 26.16026011699753, 3.9031054170083324
az, -22.743429005596326, 9.060727340834253
effective_speed, 88.57592012178718, 5.957211261551407
release_extension, 5.928817050237317, 0.48482309826797143
